site	time	observer	date	type	sample	plant	replicate	bag	pump	end	equil	pumping	flowers	buds	pump_id	VWC	treatment	notes
Ihyb	N	AA	2022-07-27	floral	713B	713	B	21:50	22:20	22:35	0:30	0:15	1	0	JMP1	4.5	water control	
Ihyb	D	AA	2022-07-28	floral	712	712		10:20	10:50	11:05	0:30	0:15	1	0	DRC3		water control	too rocky;rain
Ihyb	D	AA	2022-07-28	floral	726	726		10:22	10:53	11:07	0:31	0:14	1	0	DRC9		nitrogen	too rocky;rain
Ihyb	D	AA	2022-07-28	floral	713	713		10:34	11:04	11:19	0:30	0:15	1	0	DRC5		water control	too rocky;rain
Ihyb	D	AA	2022-07-28	floral	715	715		10:36	11:06	11:21	0:30	0:15	1	0	DRC3	5	nitrogen	rain
Ihyb	D	AA	2022-07-28	floral	718	718		10:38	11:13	11:28	0:35	0:15	1	0	DRC9	3.7	nitrogen	rain
Ihyb	D	AA	2022-07-28	floral	721	721		10:40	11:15	11:30	0:35	0:15	1	0	CWu1	6.1	water control	rain
Ihyb	N	DH	2022-07-27	floral	101A	101	A	20:06	20:37	20:52	0:31	0:15	1	0	CWu1	4.1	ambient	
Ihyb	N	DH	2022-07-27	floral	707A	707	A	20:08	20:38	20:56	0:30	0:18	1	0	DRC4	5.8	water control	
Ihyb	N	DH	2022-07-27	floral	512A	512	A	20:10	20:40	20:56	0:30	0:16	1	0	CWu2	3.7	ambient	
Ihyb	N	DH	2022-07-27	floral	737A	737	A	20:24	20:54	21:09	0:30	0:15	1	0	CWu1	6.4	water control	
Ihyb	N	DH	2022-07-27	floral	509A	509	A	20:25	20:56	21:11	0:31	0:15	1	0	DRC4	3.2	ambient	
Ihyb	N	DH	2022-07-27	floral	729A	729	A	20:27	21:01	21:16	0:34	0:15	1	0	CWu2	2.9	nitrogen	
Ihyb	N	DH	2022-07-27	ambient	airDH			20:49	21:19	21:34	0:30	0:15			DRC4			
Ihyb	N	DH	2022-07-27	floral	731A	731	A	20:51	21:22	21:37	0:31	0:15	1	2	CWu2	3.8	nitrogen	
Ihyb	N	DH	2022-07-27	floral	101B	101	B	21:12	21:42	21:57	0:30	0:15	1	0	DRC4	4.1	ambient	
Ihyb	N	DH	2022-07-27	floral	509B	509	B	21:16	21:46	22:01	0:30	0:15	1	0	CWu2	3.2	ambient	
Ihyb	N	DH	2022-07-27	floral	707B	707	B	21:30	22:00	22:15	0:30	0:15	1	0	CWu1	5.8	water control	
Ihyb	N	DH	2022-07-27	floral	512B	512	B	21:32	22:02	22:17	0:30	0:15	1	0	DRC4	3.7	ambient	
Ihyb	N	DH	2022-07-27	floral	729B	729	B	21:33	22:03	22:18	0:30	0:15	1	0	CWu2	2.9	nitrogen	JP: took 1 hr off end time
Ihyb	N	DH	2022-07-27	floral	731B	731	B	21:48	22:17	22:32	0:29	0:15	1	0	CWu1	3.8	nitrogen	
Ihyb	N	DH	2022-07-27	floral	509C	509	C	21:50	22:21	22:36	0:31	0:15	1	0	CWu2	3.2	ambient	
Ihyb	D	DH	2022-07-28	floral	707	707		10:08	10:38	10:53	0:30	0:15	1	0	DRC8	5.5	water control	
Ihyb	D	DH	2022-07-28	floral	101	101		10:10	10:40	10:55	0:30	0:15	1	0	DRC4	4.6	ambient	
Ihyb	D	DH	2022-07-28	floral	737	737		10:12	10:42	10:57	0:30	0:15	1	0	DRC10	6.8	water control	
Ihyb	D	DH	2022-07-28	floral	509	509		10:13	10:43	10:58	0:30	0:15	1	0	DRC1		ambient	too rocky
Ihyb	D	DH	2022-07-28	floral	512	512		10:27	10:58	11:13	0:31	0:15	1	0	DRC8	5	ambient	
Ihyb	D	DH	2022-07-28	floral	731	731		10:29	11:01	11:16	0:32	0:15	1	0	DRC4	5.3	nitrogen	
Ihyb	D	DH	2022-07-28	floral	729	729		10:31	11:04	11:19	0:33	0:15	1	0	DRC10	4.9	nitrogen	
Ihyb	D	DH	2022-07-28	floral	709	709		10:33	11:06	11:21	0:33	0:15	1	0	DRC1	6.2	water control	
Ihyb	D	DH	2022-07-28	ambient	airDH			10:52	11:23	11:38	0:31	0:15						
VF	N	DC	2022-08-02	floral	466	466		20:01	20:31	20:46	0:30	0:15	1	0	DRC7	13.5		
VF	N	DC	2022-08-02	floral	984	984		20:06	20:36	20:51	0:30	0:15	1	1	DRC5	5.2		
VF	N	DC	2022-08-02	floral	985	985		20:43	21:13	21:28	0:30	0:15	1	0	DRC7	10.9		flower rebagged after pump 8 broke
VF	N	DC	2022-08-02	ambient	airDC			20:53	21:23	21:38	0:30	0:15	0	0	DRC5			
VF	D	JP	2022-08-01	floral	469	469		9:32	10:02	10:17	0:30	0:15	1	0	JMP1	9		
VF	D	JP	2022-08-01	floral	992	992		9:33	10:04	10:19	0:31	0:15	1	0	JMP3	9.2		
VF	D	JP	2022-08-01	floral	466	466		9:35	10:05	10:20	0:30	0:15	1	0	JMP2	11.7		
VF	D	JP	2022-08-01	ambient	airJP			9:50	10:20	10:35	0:30	0:15			JMP1			
VF	D	JP	2022-08-01	floral	984	984		9:53	10:23	10:38	0:30	0:15	1	2	JMP2	7.8		
VF	D	JP	2022-08-01	floral	427	427		9:56	10:24	10:39	0:28	0:15	1	0	JMP3	7.2		
VF	D	AA	2022-08-01	floral	975	975		9:35	10:05	10:20	0:30	0:15	1	0	DRC7	7.4		bag detached from stalk during pump, vial cap fell on ground
VF	D	AA	2022-08-01	floral	967	967		9:39	10:09	10:24	0:30	0:15	1	0	DRC9	4.5		
VF	D	AA	2022-08-01	floral	966	966		9:42	10:12	10:27	0:30	0:15	1	0	DRC8			too rocky
VF	D	AA	2022-08-01	floral	432	432		9:43	10:13	10:28	0:30	0:15	1	0	DRC5	5.2		
VF	D	AA	2022-08-01	ambient	airAA			10:03	10:33	10:48	0:30	0:15			DRC7			no flowers: 973, 964, 962
VF	D	DH	2022-08-01	floral	981	981		9:33	10:04	10:19	0:31	0:15	1	0	DRC10	5.7		
VF	D	DH	2022-08-01	floral	977	977		9:35	10:09	10:25	0:34	0:16	1	0	CWu1	5.2		battery changed, recalibrated
VF	D	DH	2022-08-01	floral	174	174		9:36	10:06	10:22	0:30	0:16	1	1	CWu2	5.6		
VF	D	DH	2022-08-01	floral	982	982		9:51	10:21	10:36	0:30	0:15	1	0	DRC10	7.3		JP: likely 982, not 952, changed
VF	D	DH	2022-08-01	floral	978	978		9:53	10:25	10:40	0:32	0:15	1	0	CWu2	6.5		
VF	D	DH	2022-08-01	ambient	airDH			9:54	10:27	10:42	0:33	0:15			CWu1			no flowers: 980, 976, 958, 973, 964, 15, 973, 962
VF	N	DH	2022-08-02	floral	982	982		20:01	20:31	20:46	0:30	0:15	1	0	CWu1	15.5		small scent trap?
VF	N	DH	2022-08-02	floral	427	427		20:04	20:34	20:49	0:30	0:15	1	0	CWu2	15.6		
VF	N	DH	2022-08-02	floral	964	964		20:06	20:37	20:52	0:31	0:15	1	0	DRC10	13.7		VWC probe not fully in
VF	N	DH	2022-08-02	floral	966	966		20:21	20:51	21:06	0:30	0:15	1	0	CWu1			too rocky
VF	N	DH	2022-08-02	ambient	airDH			20:23	20:53	21:09	0:30	0:16			DRC10			
VF	N	DH	2022-08-02	floral	432	432		20:26	20:56	21:11	0:30	0:15	1	0	CWu2	14.9		
VF	N	DH	2022-08-02	floral	978	978		20:45	21:15	21:30	0:30	0:15	1	0	CWu1	6.6		no flowers: 980, 958, 960, 961
VF	N	JK	2022-08-02	floral	424	424		20:02	20:32	20:47	0:30	0:15	1	0	DRC3			too rocky; 461 chewed
VF	N	JK	2022-08-02	floral	430	430		20:03	20:33	20:48	0:30	0:15	1	0	DRC1	13.4		probe not fully in
VF	N	JK	2022-08-02	floral	967	967		20:05	20:35	20:50	0:30	0:15	1	0	DRC4	5.6		[illegible]
VF	N	JK	2022-08-02	ambient	airJK			20:36	21:06	21:21	0:30	0:15			DRC4			popped out of bag (turned off pump when [illegible]
VF	N	JK	2022-08-02	floral	942	942		20:41	21:11	21:26	0:30	0:15	1	0	DRC1			VWC done already
VF	N	JK	2022-08-02	floral	469	469		20:42	21:12	21:27	0:30	0:15	1	0	DRC3			VWC done already. JP: changed 464>469 (likely handwriting)
VF	D	AA	2022-08-01	floral	961	961		9:33	10:03	10:18	0:30	0:15	1	1	DRC4			too rocky
VF	D	AA	2022-08-01	floral	424	424		9:36	10:06	10:21	0:30	0:15	1	0	DRC3	2.4		probe not fully in
VF	D	AA	2022-08-01	floral	430	430		9:37	10:07	10:22	0:30	0:15	1	0	DRC1	4.9		
VF	D	AA	2022-08-01	floral	471	471		10:11	10:41	10:56	0:30	0:15	1	0	DRC4			too rocky
VF	D	AA	2022-08-01	floral	440	440		10:12	10:42	10:57	0:30	0:15	1	1	DRC1	5.6		
VF	D	AA	2022-08-01	ambient	airAA2			10:13	10:43	10:58	0:30	0:15			DRC3			JP: added 2 to sample
VF	N	AA	2022-08-02	floral	977	977		20:03	20:33	20:48	0:30	0:15	1	0	DRC9	9.9		
VF	N	AA	2022-08-02	floral	174	174		20:08	20:39	20:54	0:31	0:15	1	0	JMP1	10.6		
VF	N	AA	2022-08-02	floral	975	975		20:06	20:36	20:51	0:30	0:15	1	0	JMP2	10.2		no flowers: 973
VF	N	AA	2022-08-02	floral	981	981		20:11	20:41	20:56	0:30	0:15	1	0	JMP3	7.6		
VF	N	AA	2022-08-02	floral	440	440		20:20	20:50	21:05	0:30	0:15	1	0	DRC9	10.5		
VF	N	AA	2022-08-02	floral	971	971		20:22	20:59	21:14	0:37	0:15	1	0	JMP1	12.7		
VF	N	AA	2022-08-02	ambient	airAA			20:47	21:17	21:31	0:30	0:14	1	0	JMP1			
