site	time	observer	date	type	vial	sample	plant	bag	pump	end	equil	pumping	flowers	buds	pump_id	VWC	notes
Lagg	D	KW	2021-07-15	floral	L22	98	98	11:07	11:37	11:52	0:30	0:15	1	0	3	17.5	
Lagg	D	KW	2021-07-15	floral	L35	422	422	11:18	11:48	12:03	0:30	0:15	1	0	10	13.7	
Lagg	D	KW	2021-07-15	floral	L33	421	421	11:36	12:06	12:21	0:30	0:15	1	0	1	21.7	
Lagg	D	KW	2021-07-15	floral	L34	75	75	11:40	12:10	12:25	0:30	0:15	1	0	3	19.5	Trap popped out
Lagg	D	KW	2021-07-15	floral	L44	402	402	12:17	12:47	13:02	0:30	0:15	1	0	1	16.2	
Lagg	D	KW	2021-07-15	floral	L45	75	75	12:32	13:02	13:17	0:30	0:15	1	0	3	19.5	Same ind. flower as other 75
Lagg	D	JP	2021-07-15	floral	L11	414	414	9:22	9:56	10:11	0:34	0:15	1	0	DRC9	19.4	Dewy flower
Lagg	D	JP	2021-07-15	floral	L12	217	217	9:24	9:59	10:14	0:35	0:15	1	0	JMP3	12.3	Dewy flower
Lagg	D	JP	2021-07-15	floral	L13	413	413	9:25	10:01	10:16	0:36	0:15	1	0	JMP2	18.2	Dewy flower
Lagg	D	JP	2021-07-15	floral	L14	411	411	9:49	10:19	10:34	0:30	0:15	1	0	DRC7	9.5	Dewy flower
Lagg	D	JP	2021-07-15	floral	L15	408	408	9:51	10:22	10:38	0:31	0:16	1	0	JMP2	16.3	
Lagg	D	JP	2021-07-15	floral	L16	409	409	9:52	10:24	10:39	0:32	0:15	1	0	JMP3	16.6	
Lagg	D	JP	2021-07-15	floral	L17	210	210	10:26	10:56	11:09	0:30	0:13	1	2	JMP2	10.8	Close together
Lagg	D	JP	2021-07-15	floral	L18	211	211	10:30	11:09	11:24	0:39	0:15	1	0	JMP3	10.5	Close together
Lagg	D	JP	2021-07-15	floral	L19	284	284	10:31	11:09	11:24	0:38	0:15	1	0	DRC9	8.3	Close together
Lagg	D	JP	2021-07-15	floral	L20	410	410	10:49	11:19	11:35	0:30	0:16	1	0	DRC7	20.8	
Lagg	D	JP	2021-07-15	floral	L21	286	286	10:49	11:19	11:35	0:30	0:16	1	0	DRC8	17.6	
Lagg	D	JP	2021-07-15	floral	L32	288	288	10:50	11:20	11:35	0:30	0:15	1	0	JMP2	16.1	
Lagg	D	JP	2021-07-15	floral	L39	95	95	11:27	11:52	12:11	0:25	0:19	1	0	DRC7	17.2	
Lagg	D	JP	2021-07-15	floral	L40	294	294	11:31	11:56	12:12	0:25	0:16	1	0	DRC9	10.2	
Lagg	D	JP	2021-07-15	floral	L41	425	425	11:34	11:59	12:14	0:25	0:15	1	0	JMP3	8.2	Might have popped out
Lagg	D	JP	2021-07-15	ambient	L42	Air		12:19	12:25	12:44	0:06	0:19			DRC7		
Ihyb	D	DH	2021-07-21	floral	I2	504	504	9:50	10:20	10:35	0:30	0:15	1	0	DRC7	5.5	
Ihyb	D	DH	2021-07-21	floral	I4	524	524	10:19	10:49	11:04	0:30	0:15	1	0	DRC5	5.2	rocky, couldn't get soil moisture probe down fully
Ihyb	D	DH	2021-07-21	floral	I1	516	516	9:59	10:29	10:44	0:30	0:15	1	0	DRC1	7.8	Chewed
Ihyb	D	DH	2021-07-21	floral	I3	510	510	10:02	10:32	10:47	0:30	0:15	1	0	CWu1	5.7	Briefly fell out while pumping
Ihyb	D	JP	2021-07-21	floral	I5	528	528	9:50	10:21	10:39	0:31	0:18	1	0	CWu2	6.3	
Ihyb	D	JP	2021-07-21	floral	I8	526	526	9:53	10:23	10:39	0:30	0:16	1	0	DRC10	9.8	526=160
Ihyb	D	JP	2021-07-21	floral	I6	532	532	9:55	10:25	10:40	0:30	0:15	1	0	JMP2	13.1	
Ihyb	D	JP	2021-07-21	ambient	I7	Air		9:59	10:28	10:45	0:29	0:17			JMP3		
Ihyb	D	JP	2021-07-21	floral	I13	115	115	10:32	11:02	11:17	0:30	0:15	1	0	DRC10	4.9	
Ihyb	D	JP	2021-07-21	floral	I14	387	387	10:35	11:05	11:20	0:30	0:15	1	0	JMP2	6.7	albino; petal chips chewed off by Epicauta beetle on Monday 7/19
Ihyb	D	JP	2021-07-21	floral	I15	2228	2228	10:37	11:07	11:22	0:30	0:15	1	0	CWu2	14.4	beetle in the bag
Ihyb	D	KW	2021-07-21	ambient	I16	Air		11:00	11:02	11:17	0:02	0:15	1		JMP3		
Ihyb	D	KW	2021-07-21	floral	I10	518	518	9:54	10:26	10:41	0:32	0:15	1	2	9	9.3	
Ihyb	D	KW	2021-07-21	floral	I9	105	105	9:57	10:27	10:43	0:30	0:16	1	0	3	4.9	
Ihyb	D	KW	2021-07-21	floral	I11	509	509	9:59	10:29	10:44	0:30	0:15	1	0	4	7.0	
Ihyb	D	KW	2021-07-21	floral	I12	101	101	10:04	10:34	10:49	0:30	0:15	1	0	8	5.6	
Ihyb	D	KW	2021-07-21	floral	I17	511	511	10:40	11:10	11:25	0:30	0:15	1	0	9	6.1	
Ihyb	D	KW	2021-07-21	ambient	I19	Air		10:55	11:25	11:40	0:30	0:15			4		
VF	N	XL	2021-08-04	floral	V53	460	460	20:24	20:54	21:09	0:30	0:15	1	0	4	13.1	JP: observer guess based on handwriting
VF	N	XL	2021-08-04	floral	V54	456	456	20:27	20:58	21:13	0:31	0:15	1	0	2	11.9	
VF	N	XL	2021-08-04	floral	V66	453	453	20:55	21:25	21:40	0:30	0:15	1	0	3	12.0	
VF	N	XL	2021-08-04	floral	V63	450	450	21:03	21:33	21:48	0:30	0:15	1	0	2	14.6	
VF	N	XL	2021-08-04	floral	V64	175	175	21:04	21:34	21:49	0:30	0:15	1	0	4	8.6	
VF	N	XL	2021-08-04	floral	V65	tagburied_450_175	notag_450_175	21:07	21:43	21:58	0:36	0:15	1	0	3	14.4	
VF	N	XL	2021-08-04	floral	V60	446	446	21:36	22:06	22:21	0:30	0:15	1	0	4	9.4	
VF	N	XL	2021-08-04	floral	V58	444	444	21:38	22:08	22:23	0:30	0:15	1	0	2	13.0	
Lagg	N	RT	2021-08-05	floral	L109	2052	2052	20:04	20:34	20:50	0:30	0:16			9		JP: no VWC, flowers, or buds on datasheet
Lagg	N	RT	2021-08-05	floral	L110	80	80	20:07	20:40	20:59	0:33	0:19			8		
Lagg	N	RT	2021-08-05	floral	L108	403	403	21:17	21:45	22:01	0:28	0:16			8		
Lagg	N	RT	2021-08-05	floral	L106	423	423	20:27	21:05	21:22	0:38	0:17			9		
Lagg	N	RT	2021-08-05	floral	L111	402	402	21:20	21:50	22:03	0:30	0:13			8		
Lagg	N	RT	2021-08-05	floral	cont	cont		21:34	22:05	22:20	0:31	0:15	1	0	DRC7		JP: no VWC on sheet
Lagg	N	XL	2021-08-05	floral	L103	288	288	20:05	20:35	20:50	0:30	0:15	1	0	SRC10		
Lagg	N	XL	2021-08-05	floral	L104	286	286	20:08	20:38	20:53	0:30	0:15	1	0	SRC7		
Lagg	N	XL	2021-08-05	floral	L101	410	410	20:25	21:06	21:21	0:41	0:15	1	0	SRC10		battery ran out, repump at 9:06. JP: bag time read 20:55 JP: last digit of vial not in Diane's photo of page, guessed 1
Lagg	N	XL	2021-08-05	floral	L105	284	284	20:28	21:00	21:15	0:32	0:15	1	0	DRC10		
Lagg	N	XL	2021-08-05	floral	L100	210	210	20:45	21:17	21:32	0:32	0:15	1	0	DRC10		
Lagg	N	XL	2021-08-05	floral	L102	95	95	20:48	21:23	21:38	0:35	0:15	1	0	DRC7		
Lagg	N	XL	2021-08-05	ambient	L133	Air		20:20	21:35	21:50	1:15	0:15			DRC10		JP: can't read bag time
Lagg	N	JB	2021-08-05	floral	L116	414	414	20:04	20:36	20:51	0:32	0:15	1	0	DRC10		
Lagg	N	JB	2021-08-05	floral	L117	217	217	20:07	20:40	20:55	0:33	0:15	1	0	DRC5		
Lagg	N	JB	2021-08-05	floral	L115	412	412	20:24	20:59	21:14	0:35	0:15	1	0	DRC5		
Lagg	N	JB	2021-08-05	floral	L114	411	411	20:28	21:03	21:18	0:35	0:15	1	0	DRC1		
Lagg	N	JB	2021-08-05	floral	L113	277	277	21:12	21:43	21:58	0:31	0:15	1	0	DRC5		
Lagg	N	JB	2021-08-05	ambient	L112	Air	Air		21:18	21:33		0:15			DRC5		
Lagg	N	JB	2021-08-05	ambient	L119	Air	Air		21:29	21:44		0:15			DRC1		sampled near cow poo
Lagg	N	DH	2021-08-05	floral	L127	415	415	20:06	20:36	20:51	0:30	0:15	1	0	DRC4		
Lagg	N	DH	2021-08-05	floral	L129	409	409	20:08	20:38	20:53	0:30	0:15	1	0	DRC3		
Lagg	N	DH	2021-08-05	floral	L125	408	408	20:27	20:57	21:12	0:30	0:15	1	0	DRC4		
Lagg	N	DH	2021-08-05	floral	L124	425	425	20:28	20:59	21:14	0:31	0:15	1	0	DRC3		
Lagg	N	DH	2021-08-05	floral	L128	407	407	20:49	21:19	21:34	0:30	0:15	1	0	DRC4		flower pulled off fixing pump
Lagg	N	DH	2021-08-05	floral	L126	421	421	20:51	21:21	21:36	0:30	0:15	1	0	DRC3		
Lagg	N	DH	2021-08-05	floral	L131	292	292	21:09	21:39	21:54	0:30	0:15	1	0	DRC3		
Lagg	N	DH	2021-08-05	ambient	L130	Air		21:11	21:41	21:56	0:30	0:15	1	0	DRC4		on right side
Lagg	N	DH	2021-08-05	ambient	L134	Air		21:26	21:56	22:11	0:30	0:15	1	0	DRC4		sampled very near cow shite; left side
Lagg	N	JP	2021-08-05	floral	L123	294	294	20:04	20:34	20:49	0:30	0:15	1	0	JMP3		
Lagg	N	JP	2021-08-05	floral	L121	2095	2095	20:06	20:36	20:51	0:30	0:15	1	0	JMP2		
Lagg	N	JP	2021-08-05	floral	L120	406	406	20:40	21:12	21:27	0:32	0:15	1	0			
Lagg	N	JP	2021-08-05	floral	L118	422	422	20:43	21:13	21:28	0:30	0:15	1	0			
Lagg	N	JP	2021-08-05	floral	L132	405	405	21:00	21:32	21:47	0:32	0:15	1	0	JMP2		
Lagg	N	JP	2021-08-05	ambient	L122	Air		21:36	21:50	22:05	0:14	0:15			JMP3		
VF	N	JB	2021-08-04	floral	50	464	464	20:16	20:47	21:02	0:31	0:15	1	0	5	17.4	
VF	N	JB	2021-08-04	floral	51	465	465	20:20	20:50	21:05	0:30	0:15	1	1	3	16.2	tube broke - 1/2 in
VF	N	JB	2021-08-04	floral	62	467	467	20:22	20:55	21:10	0:33	0:15	1	0	7	15.8	flower fell off - [not in photo]
VF	N	JB	2021-08-04	floral	67	467	467	20:22	21:33	21:48	1:11	0:15	1	0	3	15.8	flower fell off - [not in photo]
VF	N	JB	2021-08-04	floral	72	465	465	20:20	22:02	22:17	1:42	0:15	1	1	3	16.2	redo
VF	N	JB	2021-08-04	ambient	VF73	Air		22:12	22:13	22:28	0:01	0:15			7		
VF	N	JB	2021-08-04	ambient	VF74	Air		22:20	22:21	22:36	0:01	0:15			3		
VF	N	JP	2021-08-04	floral	55	428	428	20:25	21:00	21:20	0:35	0:20	1	0	DRC9	11.5	
VF	N	JP	2021-08-04	floral	56	169	169	20:29	21:04	21:21	0:35	0:17	1	0	DRC8	13.0	
VF	N	JP	2021-08-04	floral	61	438	438	21:29	21:59	22:16	0:30	0:17			DRC9	24.1	
VF	N	JP	2021-08-04	floral	57	437	437	20:34	21:07	21:22	0:33	0:15	1	0	DRC1	11.0	
VF	N	JP	2021-08-04	floral	69	436	436	21:32	22:02	22:17	0:30	0:15	1	0	DRC1	13.3	
VF	N	JP	2021-08-04	floral	59	433	433	21:34	22:04	22:19	0:30	0:15	1	0	DRC8	12.2	
VF	N	JP	2021-08-04	floral	68	434	434	22:06	22:36	22:51	0:30	0:15	1	0	DRC9	10.1	
VF	N	JP	2021-08-04	floral	70	462	462	22:14	22:46	23:01	0:32	0:15	1	0	DRC1	16.5	
