site	time	observer	date	type	vial	sample	plant	bag	pump	end	equil	pumping	flowers	buds	pump_id	VWC	notes
VF	D	JP	2021-07-20	floral	10	464	464	9:04	9:36	9:51	0:32	0:15	1	0	DRC3	7.5	
VF	D	JP	2021-07-20	floral	20	465	465	9:06	9:36	9:51	0:30	0:15	1	0	CWu2	5.4	
VF	D	JP	2021-07-20	floral	11	434	434	9:09	9:40	9:55	0:31	0:15	1	0	DRC10	3.9	
VF	D	JP	2021-07-20	floral	12	433	433	9:10	9:41	9:56	0:31	0:15	1	0	DRC5	4.8	
VF	D	JP	2021-07-20	floral	13	436	436	9:12	9:44	9:59	0:32	0:15	1	0	DRC1	5.0	
VF	D	JP	2021-07-20	floral	14	435	435	9:33	10:03	10:18	0:30	0:15	1	0		3.9	
VF	D	JP	2021-07-20	floral	15	439	439	9:34	10:04	10:19	0:30	0:15	1	0	DRC10		too rocky for soil moisture
VF	D	JP	2021-07-20	floral	16	438	438	9:35	10:05	10:20	0:30	0:15	1	0	DRC3	3.2	
VF	D	JP	2021-07-20	floral	17	437	437	9:36	10:07	10:22	0:31	0:15	1	0			too rocky for soil moisture
VF	D	JP	2021-07-20	floral	18	69	69	9:59	10:28	10:43	0:29	0:15	1	0	DRC1	3.7	
VF	D	JP	2021-07-20	ambient	19	Air		10:14	10:30	10:45	0:16	0:15			DRC5		
VF	D	DH	2021-07-20	floral	1	467	467	9:04	9:34	9:49	0:30	0:15	1	0	CWu1	4.5	
VF	D	DH	2021-07-20	floral	3	462	462	9:07	9:37	9:52	0:30	0:15	1	0	DRC9	6.5	
VF	D	DH	2021-07-20	floral	2	456	456	9:11	9:41	9:56	0:30	0:15	1	0	DRC7	3.4	
VF	D	DH	2021-07-20	floral	4	450	450	9:13	9:44	9:59	0:31	0:15	1	0	JMP3	3.8	
VF	D	DH	2021-07-20	floral	5	451	451	9:15	9:45	10:00	0:30	0:15	1	0	JMP2	3.9	
VF	D	DH	2021-07-20	floral	8	452	452	9:48	10:18	10:34	0:30	0:16	1	0	CWu1	5.3	Pumped knocked out, unsure how long
VF	D	DH	2021-07-20	floral	7	453	453	9:55	10:25	10:40	0:30	0:15	1	0	DRC9	3.3	
VF	D	DH	2021-07-20	floral	9	444	444	10:03	10:34	10:49	0:31	0:15	1	0	DRC7	6.4	
VF	D	DH	2021-07-20	floral	6	447	447	10:06	10:36	10:51	0:30	0:15	1	0	JMP3	2.0	
VF	D	DH	2021-07-20	floral	21	446	446	10:08	10:38	10:53	0:30	0:15	1	0	JMP2	4.8	
VF	D	DH	2021-07-20	ambient	22	Air		10:46	11:16	11:31	0:30	0:15			DRC7		
Ihyb	N	XL	2021-07-12	floral	17	504	504	20:10	20:45	21:03	0:35	0:18	1	1	4	2.9	
Ihyb	N	XL	2021-07-12	floral	13	115	115	20:11	20:43	20:58	0:32	0:15	1	0	5	2.5	
Ihyb	N	XL	2021-07-12	floral	15	524	524	20:13	20:47	21:04	0:34	0:17	1	0	9	2.2	
Ihyb	N	XL	2021-07-12	floral	11	527	527	20:29	21:02	21:17	0:33	0:15	1	0	5	3.1	
Ihyb	N	XL	2021-07-12	floral	16	502	502	20:34	21:08	21:23	0:34	0:15	1	0	4		
Ihyb	N	XL	2021-07-12	floral	12	387	387	20:36	21:12	21:28	0:36	0:16	1	0	9	3.2	
Ihyb	N	XL	2021-07-12	floral	2	504	504	20:55	21:27	21:42	0:32	0:15	1	0	5		
Ihyb	N	XL	2021-07-12	ambient	14	Air		21:30	21:35		0:05				9		JP: no end time
Ihyb	N	DH	2021-07-12	floral	18	516	516	20:12	20:45	21:00	0:33	0:15	1	0	DRC10		
Ihyb	N	DH	2021-07-12	floral	19	304	304	20:19	20:50	21:05	0:31	0:15	1	0	DRC3	5.1	
Ihyb	N	DH	2021-07-12	floral	20	101	101	20:22	20:53	21:08	0:31	0:15	1	0	DRC8	4.0	
Ihyb	N	DH	2021-07-12	floral	23	105A	105	20:38	21:10	21:25	0:32	0:15	1	0	DRC10	2.5	
Ihyb	N	DH	2021-07-12	floral	21	511	511	20:42	21:15	21:30	0:33	0:15	1	0	DRC8	3.3	Flower pulled off when fixing pump; VWC from XL
Ihyb	N	DH	2021-07-12	floral	22	Untagged A	notag101	20:57	21:28	21:43	0:31	0:15	1	0	DRC3	3.8	Uphill from 101, whitish in color
Ihyb	N	DH	2021-07-12	ambient	24	Air		21:34	22:00	22:15	0:26	0:15		0	DRC8		JP: added 1 hr to bag time
Ihyb	N	DH	2021-07-12	floral	25	105B	105	21:39	22:11	22:26	0:32	0:15	1	0	DRC10	2.5	JP: added 1 hr to bag time
Ihyb	N	DH	2021-07-12	floral	26	Untagged B	notag101	21:47	22:19	22:34	0:32	0:15	1	0	DRC3	3.8	Same untagged plant uphill from 101; JP: added 1 hr to bag time
Ihyb	N	JP	2021-07-12	floral		509	509									2.3	JP: 8 plants are likely JP's, only have XL's VWC measurements,
Ihyb	N	JP	2021-07-12	floral		518	518									3.5	
Ihyb	N	JP	2021-07-12	floral		510	510									4.7	
Ihyb	N	JP	2021-07-12	floral		505	505									3.2	
Ihyb	N	JP	2021-07-12	floral		532	532									3.2	
Ihyb	N	JP	2021-07-12	floral		527	527									2.9	
Ihyb	N	JP	2021-07-12	floral		528	528									2.2	
Ihyb	N	JP	2021-07-12	floral		Untagged C	notag526									6.0	untagged, 4 group, old tag 160, next to 526
Lagg	D	DH	2021-07-15	floral	L9	418	418	9:27	9:58	10:13	0:31	0:15	1	0	DRC4	20.2	
Lagg	D	DH	2021-07-15	floral	L10	416	416	9:30	10:02	10:17	0:32	0:15	1	0	CWu2	18.2	Flower pulled off fixing pump
Lagg	D	DH	2021-07-15	floral	L8	417	417	9:31	10:06	10:23	0:35	0:17	1	0	CWu1	12.4	Pump briefly fell out
Lagg	D	DH	2021-07-15	floral	L7	419	419	9:52	10:22	10:37	0:30	0:15	1	0	DRC4	24.2	Flower pulled off fixing pump
Lagg	D	DH	2021-07-15	floral	L26	77	77	10:12	10:42	10:57	0:30	0:15	1	0	CWu2	16.0	
Lagg	D	DH	2021-07-15	floral	L27	405	405	10:28	10:59	11:14	0:31	0:15	1	0	CWu1	15.7	
Lagg	D	DH	2021-07-15	floral	L28	420	420	10:30	11:00	11:15	0:30	0:15	1	0	DRC4	18.4	
Lagg	D	DH	2021-07-15	floral	L30	423	423	11:04	11:34	11:49	0:30	0:15	1	0	CWu2	14.9	
Lagg	D	DH	2021-07-15	floral	L29	424	424	11:06	11:36	11:51	0:30	0:15	1	0	DRC4	11.4	
Lagg	D	DH	2021-07-15	floral	L10	406	406	11:09	11:39	11:54	0:30	0:15	1	0	CWu1	14.1	
Lagg	D	DH	2021-07-15	floral	L36	407	407	11:35	12:05	12:20	0:30	0:15	1	0	CWu1	18.1	
Lagg	D	DH	2021-07-15	floral	L38	415	415	11:41	12:15		0:34		1	0	DRC4		Fell out for several minutes, redone, JP: no end time
Lagg	D	DH	2021-07-15	ambient	L37	Air		9:20	12:02	12:17	2:42	0:15			CWu2		JP: long equil
Lagg	D	DH	2021-07-15	floral	L43	2100	2100	12:10	12:40	12:55	0:30	0:15	1	0	CWu1	15.1	JP: added 1 hr to bag time
Lagg	D	DH	2021-07-15	floral	L46	415	415	12:33	13:03	13:18	0:30	0:15	1	0	DRC4	20.4	
Lagg	D	KW	2021-07-15	floral	L3	401	401	9:23	9:57	10:12	0:34	0:15	1	0	1	15.3	
Lagg	D	KW	2021-07-15	floral	L4	2052	2052	9:29	9:59	10:14	0:30	0:15	1	0	10	15.9	JP: took off 2 hr from end time
Lagg	D	KW	2021-07-15	floral	L6	79	79	9:31	10:01	10:16	0:30	0:15	1	0	3	18.9	
Lagg	D	KW	2021-07-15	floral	L1	277	277	9:48	10:18	10:33	0:30	0:15	1	0	1	18.0	Trap fell out
Lagg	D	KW	2021-07-15	floral	L5	80	80	10:05	10:35	10:50	0:30	0:15	1	0	10	12.5	
Lagg	D	KW	2021-07-15	floral	L2	273	273	10:08	10:38	10:58	0:30	0:20	1	0	3	16.1	
Lagg	D	KW	2021-07-15	floral	L23	403	403	10:24	10:54	11:09	0:30	0:15	1	0	1	9.5	
Lagg	D	KW	2021-07-15	floral	L24	404	404	10:27	10:57	11:12	0:30	0:15	1	0	10	15.8	
Lagg	D	KW	2021-07-15	floral	L25	277	277	10:43	11:13	11:28	0:30	0:15	1	0	3	18.0	
Lagg	D	KW	2021-07-15	ambient	L26A	Air		10:53	11:25	11:40	0:32	0:15			1		
