year_run,index,batch,Desorb.Start.Time,FileName,verdict,samplename,format,file1,file2,file3,file4,file5,file6,file7,site,type,vial,sample,time,date_text,date,rundate,gc_n,split_notes
2017,61,,2017-07-12T17:44:36Z,VF1D07102017_07122017.qgd,,VF1D07102017_07122017,other,VF1D07102017,7122017,,,,,,VF,floral,,1,D,07-10-2017,2017-07-10,2017-07-12,,
2017,62,,2017-07-12T18:16:27Z,VF207102017_07122017.qgd,,VF207102017_07122017,other,VF207102017,7122017,,,,,,VF,floral,,2,D,07-10-2017,2017-07-10,2017-07-12,,add D
2017,63,,2017-07-12T19:53:23Z,,skip-notrun,,noname,,,,,,,,,,,,,,,,,
2017,69,,2017-07-13T00:01:58Z,,,,noname,,,,,,,,,,,,,,,,,
2017,75,,2017-07-13T16:19:11Z,,,VF4D07102017_07132017,other,VF4D07102017,7132017,,,,,,VF,floral,,4,D,07-10-2017,2017-07-10,2017-07-13,,
2017,76,,2017-07-13T17:06:12Z,VF5D07102017_07132017.qgd,,VF5D07102017_07132017,other,VF5D07102017,7132017,,,,,,VF,floral,,5,D,07-10-2017,2017-07-10,2017-07-13,,
2017,77,,2017-07-13T17:37:55Z,VF6D07102017_07132017.qgd,,VF6D07102017_07132017,other,VF6D07102017,7132017,,,,,,VF,floral,,6,D,07-10-2017,2017-07-10,2017-07-13,,
2017,78,,2017-07-13T18:09:47Z,VFAIR07102017_07132017.qgd,,VFAIR07102017_07132017,other,VFAIR07102017,7132017,,,,,,VF,ambient,,AIR,D,07-10-2017,2017-07-10,2017-07-13,,
2017,83,,2017-07-14T21:33:10Z,VF4D07142017_07142017.qgd,,VF4D07142017_07142017,other,VF4D07142017,7142017,,,,,,VF,floral,,4,D,07-14-2017,2017-07-14,2017-07-14,,
2017,84,,2017-07-14T23:37:14Z,,skip-notrun,,noname,,,,,,,,,,,,,,,,,
2017,86,,2017-07-15T02:11:50Z,VF6D07142017_07142017.qgd,,VF6D07142017_07142017,other,VF6D07142017,7142017,,,,,,VF,floral,,6,D,07-14-2017,2017-07-14,2017-07-14,,
2017,87,,2017-07-15T02:43:00Z,VF7D07102017_07142017.qgd,,VF7D07102017_07142017,other,VF7D07102017,7142017,,,,,,VF,floral,,7,D,07-10-2017,2017-07-10,2017-07-14,,
2017,88,,2017-07-15T03:14:24Z,VF7D07142017_07142017.qgd,,VF7D07142017_07142017,other,VF7D07142017,7142017,,,,,,VF,floral,,7,D,07-14-2017,2017-07-14,2017-07-14,,
2017,89,,2017-07-15T03:45:52Z,VF9D07102017_07142017.qgd,,VF9D07102017_07142017,other,VF9D07102017,7142017,,,,,,VF,floral,,9,D,07-10-2017,2017-07-10,2017-07-14,,
2017,90,,2017-07-15T04:17:10Z,VF9D07142017_07140217.qgd,,VF9D07142017_07140217,other,VF9D07142017,7142017,,,,,,VF,floral,,9,D,07-14-2017,2017-07-14,2017-07-14,,
2017,93,,2017-07-15T15:33:28Z,VF1D07142017_07152017.qgd,,VF1D07142017_07152017,other,VF1D07142017,7152017,,,,,,VF,floral,,1,D,07-14-2017,2017-07-14,2017-07-15,,
2017,94,,2017-07-15T16:04:33Z,VF2D07142017_07152017.qgd,,VF2D07142017_07152017,other,VF2D07142017,7152017,,,,,,VF,floral,,2,D,07-14-2017,2017-07-14,2017-07-15,,
2017,95,,2017-07-15T16:35:44Z,VF8D07102017_07152017.qgd,,VF8D07102017_07152017,other,VF8D07102017,7152017,,,,,,VF,floral,,8,D,07-10-2017,2017-07-10,2017-07-15,,
2017,96,,2017-07-15T17:07:05Z,VF8D07142017_07152017.qgd,,VF8D07142017_07152017,other,VF8D07142017,7152017,,,,,,VF,floral,,8,D,07-14-2017,2017-07-14,2017-07-15,,
2017,423,,2017-08-27T01:45:20Z,I3DJul24_08262017.qgd,,I3DJul24_08262017,SPTMonD,I3DJul24,8262017,,,,,,Ihyb,floral,,3,D,Jul24,2017-07-24,2017-08-26,,
2017,424,,2017-08-27T02:15:47Z,I3NAug1_08262017.qgd,,I3NAug1_08262017,SPTMonD,I3NAug1,8262017,,,,,,Ihyb,floral,,3,N,Aug1,2017-08-01,2017-08-26,,
2017,425,,2017-08-27T02:47:59Z,I10DJul24_08262017.qgd,,I10DJul24_08262017,SPTMonD,I10DJul24,8262017,,,,,,Ihyb,floral,,10,D,Jul24,2017-07-24,2017-08-26,,
2017,426,,2017-08-27T03:20:51Z,I10NAug108262017.qgd,,I10NAug108262017,other,I10NAug108262017,8262017,,,,,,Ihyb,floral,,10,N,Aug10,2017-08-10,2017-08-26,,
2017,427,,2017-08-27T03:53:20Z,I11DJul24_08262017.qgd,,I11DJul24_08262017,SPTMonD,I11DJul24,8262017,,,,,,Ihyb,floral,,11,D,Jul24,2017-07-24,2017-08-26,,
2017,428,,2017-08-27T04:25:24Z,I11NAug1_08262017.qgd,,I11NAug1_08262017,SPTMonD,I11NAug1,8262017,,,,,,Ihyb,floral,,11,N,Aug1,2017-08-01,2017-08-26,,
2017,429,,2017-08-27T04:57:31Z,I12DJul24_08262017.qgd,,I12DJul24_08262017,SPTMonD,I12DJul24,8262017,,,,,,Ihyb,floral,,12,D,Jul24,2017-07-24,2017-08-26,,
2017,430,,2017-08-27T05:29:46Z,I12NAug1_08262017.qgd,,I12NAug1_08262017,SPTMonD,I12NAug1,8262017,,,,,,Ihyb,floral,,12,N,Aug1,2017-08-01,2017-08-26,,
2017,431,,2017-08-27T06:02:41Z,I17DJul244_08262017.qgd,,I17DJul244_08262017,other,I17DJul244,8262017,,,,,,Ihyb,floral,,17,D,Jul24,2017-07-24,2017-08-26,,
2017,432,,2017-08-27T06:33:42Z,I15NAug1_08262017.qgd,,I15NAug1_08262017,SPTMonD,I15NAug1,8262017,,,,,,Ihyb,floral,,15,N,Aug1,2017-08-01,2017-08-26,,
2017,434,,2017-08-27T16:24:31Z,I2NAug1_08272017.qgd,,I2NAug1_08272017,SPTMonD,I2NAug1,8272017,,,,,,Ihyb,floral,,2,N,Aug1,2017-08-01,2017-08-27,,
2017,435,,2017-08-27T16:57:23Z,I4NAug1_08272017.qgd,,I4NAug1_08272017,SPTMonD,I4NAug1,8272017,,,,,,Ihyb,floral,,4,N,Aug1,2017-08-01,2017-08-27,,
