name	value
(E)-hex-2-enal	0.05987659480996288
a-pinene	0.248805033797285
b-myrcene	0.16011835609854716
(Z)-b-ocimene	0.20911113616062976
(E)-b-ocimene	0.1961834365378029
linalool	0.10859646648799949
indole	0.16729061585333116
b-caryophyllene	0.044621998492844726
(E)-b-bergamotene	0.13115927519631462
a-farnesene	0.10423576384114858
(Z)-hex-3-en-1-ol	0.14903612634561755
[(E)-hex-3-enyl] acetate	0.22814545128180364
cosmene	0.07922321242796676
(4E,6Z)-alloocimene	0.18514309696237047
verbenone	0.04678910398994707
3-ethenyl-1,2-dimethylcyclohexa-1,4-diene	0.03639295497592966
geranial	0.016489947365450345
2,3-dihydroxypropyl acetate	0.30591753304258873
camphene	0.15168677411832857
hexa-2,4-diene	0.18369515771481576
hexan-2-one	0.08558687708747881
