filename	site	time	date	type	sample	plant	bag	pump	end	equil	pumping	flowers	buds	pump_id	notes	index
VF21DJul13reallyVF20D_09042017	VF	D	2017-07-13	floral	20	20	10:30	11:00	11:15	0:30	0:15	1	0	DRC3		142
VF19DJul13_09042017	VF	D	2017-07-13	floral	19	19	10:34	11:04	11:19	0:30	0:15	1	0	DRC2		137
VF44DJul13_09052017	VF	D	2017-07-13	floral	44	44	10:40	11:10	11:25	0:30	0:15	1	1	DRC1		166
VF32DJul13_09042017	VF	D	2017-07-13	floral	32	32	10:54	11:24	11:39	0:30	0:15	1	0	DRC2		155
VF39DJul13_09042017	VF	D	2017-07-13	floral	39	39	11:00	11:30	11:47	0:30	0:17	1	0	DRC1		159
VF28DJul13_09042017	VF	D	2017-07-13	floral	28	28	11:04	11:34	11:49	0:30	0:15	1	0	DRC3		148
VF31DJul13_09042017	VF	D	2017-07-13	floral	31	31	11:14	11:44	11:59	0:30	0:15	1	0	DRC2		154
VF40DJul13_09042017	VF	D	2017-07-13	floral	40	40	11:20	11:50	12:05	0:30	0:15	1	0	DRC1		161
VF3DJul13_09042017	VF	D	2017-07-13	floral	3	3	11:24	11:54	12:09	0:30	0:15	1	0	DRC3		160
VF30DJul13redo_09042017	VF	D	2017-07-13	floral	30	30	11:34	12:03	12:18	0:29	0:15	1	0	DRC2		153
VF17DJul13really VF29D_09042017	VF	D	2017-07-13	floral	29	29	11:40	12:10	12:26	0:30	0:16	1	0	DRC3		135
VF43DJul13_09042017	VF	D	2017-07-13	floral	43	43	11:40	12:10	12:25	0:30	0:15	1	0	DRC1		165
VF41DJul13_09042017	VF	D	2017-07-13	floral	41	41	11:54	12:24	12:39	0:30	0:15	1	0	DRC2		163
VF42DJul13_09052017	VF	D	2017-07-13	floral	42	42	12:00	12:30	12:41	0:30	0:11	1	0	DRC3		164
VF1D07142017_07152017	VF	D	2017-07-14	floral	1	1	8:31	9:01	9:16	0:30	0:15	1	0	DRC1		139
VF7D07142017_07142017	VF	D	2017-07-14	floral	7	7	8:32	9:02	9:17	0:30	0:15	1	0	NA		177
VF2D07142017_07152017	VF	D	2017-07-14	floral	2	2	8:41	9:11	9:26	0:30	0:15	1	0	DRC2		150
VF6D07142017_07142017	VF	D	2017-07-14	floral	6	6	8:50	9:20	9:35	0:30	0:15	1	0	NA		175
