year_run	index	batch	Desorb.Start.Time	FileName	verdict	samplename	format	file1	file2	file3	file4	file5	file6	file7	site	type	vial	sample	time	date_text	date	rundate	gc_n	split_notes	year	n
2022	5114	PG_Lagg_220726a_2.txt	2022-07-27T05:03:19Z	Lagg_320_N_220721_7262022_07.qgd		Lagg_320_N_220721_7262022_07	underscores	Lagg	320	N	220721	7262022	7		Lagg	floral		320	N	220721	2022-07-21	2022-07-26	7		2022	2
2022	5133	PG_Lagg_220726a_2.txt	2022-07-27T21:51:24Z	Lagg_320_N_220721_7262022_26.qgd		Lagg_320_N_220721_7262022_26	underscores	Lagg	320	N	220721	7262022	26		Lagg	floral		320	N	220721	2022-07-21	2022-07-26	26		2022	2
2022	5190	PG_Lagg_220727.txt	2022-07-29T10:10:06Z	Lagg_415_N_220721_7282022_24.qgd		Lagg_415_N_220721_7282022_24	underscores	Lagg	415	N	220721	7282022	24		Lagg	floral		415	N	220721	2022-07-21	2022-07-28	24		2022	2
2022	5191	PG_Lagg_220727.txt	2022-07-29T10:40:32Z	Lagg_415_N_220721_7282022_25.qgd		Lagg_415_N_220721_7282022_25	underscores	Lagg	415	N	220721	7282022	25		Lagg	floral		415	N	220721	2022-07-21	2022-07-28	25		2022	2
2022	5201	PG_Ihyb_220729.txt	2022-07-29T16:31:43Z	Ihyb_530A_N_220727_7292022_02.qgd		Ihyb_530A_N_220727_7292022_02	underscores	Ihyb	530A	N	220727	7292022	2		Ihyb	floral		530A	N	220727	2022-07-27	2022-07-29	2		2022	2
2022	5425	PG_Ihyb_220802_1.txt	2022-08-02T17:11:07Z	Ihyb_T7_N_220727_822022_07.qgd		Ihyb_T7_N_220727_822022_07	underscores	Ihyb	T7	N	220727	822022	7		Ihyb	floral	7	530A	N	220727	2022-07-27	2022-08-02	7		2022	2
2022	5209	PG_Ihyb_220729.txt	2022-07-29T20:39:10Z	Ihyb_530B_N_220727_7292022_10.qgd		Ihyb_530B_N_220727_7292022_10	underscores	Ihyb	530B	N	220727	7292022	10		Ihyb	floral		530B	N	220727	2022-07-27	2022-07-29	10		2022	2
2022	5423	PG_Ihyb_220802_1.txt	2022-08-02T16:09:42Z	Ihyb_T5_N_220727_822022_05.qgd		Ihyb_T5_N_220727_822022_05	underscores	Ihyb	T5	N	220727	822022	5		Ihyb	floral	5	530B	N	220727	2022-07-27	2022-08-02	5		2022	2
2022	5206	PG_Ihyb_220729.txt	2022-07-29T19:05:13Z	Ihyb_701A_N_220727_7292022_07.qgd		Ihyb_701A_N_220727_7292022_07	underscores	Ihyb	701A	N	220727	7292022	7		Ihyb	floral		701A	N	220727	2022-07-27	2022-07-29	7		2022	2
2022	5420	PG_Ihyb_220802_1.txt	2022-08-02T14:38:20Z	Ihyb_T2_N_220727_822022_02.qgd		Ihyb_T2_N_220727_822022_02	underscores	Ihyb	T2	N	220727	822022	2		Ihyb	floral	2	701A	N	220727	2022-07-27	2022-08-02	2		2022	2
2022	5207	PG_Ihyb_220729.txt	2022-07-29T19:36:29Z	Ihyb_701B_N_220727_7292022_08.qgd		Ihyb_701B_N_220727_7292022_08	underscores	Ihyb	701B	N	220727	7292022	8		Ihyb	floral		701B	N	220727	2022-07-27	2022-07-29	8		2022	2
2022	5421	PG_Ihyb_220802_1.txt	2022-08-02T15:08:48Z	Ihyb_T3_N_220727_822022_03.qgd		Ihyb_T3_N_220727_822022_03	underscores	Ihyb	T3	N	220727	822022	3		Ihyb	floral	3	701B	N	220727	2022-07-27	2022-08-02	3		2022	2
2022	5205	PG_Ihyb_220729.txt	2022-07-29T18:34:12Z	Ihyb_706A_N_220727_7292022_06.qgd		Ihyb_706A_N_220727_7292022_06	underscores	Ihyb	706A	N	220727	7292022	6		Ihyb	floral		706A	N	220727	2022-07-27	2022-07-29	6		2022	2
2022	5419	PG_Ihyb_220802_1.txt	2022-08-02T14:07:55Z	Ihyb_T1_N_220727_822022_01.qgd		Ihyb_T1_N_220727_822022_01	underscores	Ihyb	T1	N	220727	822022	1		Ihyb	floral	1	706A	N	220727	2022-07-27	2022-08-02	1		2022	2
2022	5200	PG_Ihyb_220729.txt	2022-07-29T16:01:15Z	Ihyb_732A_N_220727_7292022_01.qgd		Ihyb_732A_N_220727_7292022_01	underscores	Ihyb	732A	N	220727	7292022	1		Ihyb	floral		732A	N	220727	2022-07-27	2022-07-29	1		2022	2
2022	5424	PG_Ihyb_220802_1.txt	2022-08-02T16:40:22Z	Ihyb_T6_N_220727_822022_06.qgd		Ihyb_T6_N_220727_822022_06	underscores	Ihyb	T6	N	220727	822022	6		Ihyb	floral	6	732A	N	220727	2022-07-27	2022-08-02	6		2022	2
2022	5208	PG_Ihyb_220729.txt	2022-07-29T20:07:51Z	Ihyb_732B_N_220727_7292022_09.qgd		Ihyb_732B_N_220727_7292022_09	underscores	Ihyb	732B	N	220727	7292022	9		Ihyb	floral		732B	N	220727	2022-07-27	2022-07-29	9		2022	2
2022	5422	PG_Ihyb_220802_1.txt	2022-08-02T15:39:14Z	Ihyb_T4_N_220727_822022_04.qgd		Ihyb_T4_N_220727_822022_04	underscores	Ihyb	T4	N	220727	822022	4		Ihyb	floral	4	732B	N	220727	2022-07-27	2022-08-02	4		2022	2
2022	7687	PG_Ihyb_220804_3.txt		VF_AIRJK_D_220801_852022_03.qgd	mismatch-leak	VF_AIRAA_D_220801_852022_04	underscores	VF	AIRAA	D	220801	852022	4		VF	ambient		airAA	D	220801	2022-08-01	2022-08-05	4		2022	2
2022	5574	PG_Ihyb_220806_1.txt	2022-08-06T18:48:07Z	VF_AIRAAredo_D_220801_862022_04.qgd		VF_AIRAAredo_D_220801_862022_04	underscores	VF	AIRAAredo	D	220801	862022	4		VF	ambient		airAA	D	220801	2022-08-01	2022-08-06	4		2022	2
2023	1786	PG_230824.txt	2023-08-25T21:53:21Z	Ihyb_232_230728_8242023_12.qgd	skip-rename	PGVF_5_8242023_15	underscores	PGVF	5	8242023	15				Lagg	floral	5	611	D	2023-07-20	2023-07-20	2023-08-24	15		2023	2
2023	1965	PGVF_230831a.txt	2023-08-31T18:19:18Z	PGVF_5_8312023_07.qgd		PGVF_5_8312023_07	underscores	PGVF	5	8312023	7				Lagg	floral	5	611	D	2023-07-20	2023-07-20	2023-08-31	7		2023	2
2023	1782	PG_230824.txt	2023-08-25T20:50:05Z	PGVF_28_8242023_10.qgd	skip-rename	PGVF_24_8242023_11	underscores	PGVF	24	8242023	11				Lagg	floral	24	no vial match	D	#N/A	2023-07-20	2023-08-24	11	no vial match, guessed date/site/time	2023	5
2023	1885	PGVF_230829b.txt	2023-08-30T01:11:54Z	PGVF_34_8292023_02.qgd		PGVF_34_8292023_02	underscores	PGVF	34	8292023	2				Lagg	floral	34	no vial match	D	#N/A	2023-07-20	2023-08-29	2	no vial match, guessed date/site/time	2023	5
2023	1910	PGVF_230829b.txt	2023-08-30T13:47:21Z	PGVF_12_8292023_26.qgd	skip-rename	PGVF_54_8292023_27	underscores	PGVF	54	8292023	27				Lagg	floral	54	no vial match	D	#N/A	2023-07-20	2023-08-29	27	no vial match, guessed date/site/time	2023	5
2023	1911	PGVF_230829b.txt	2023-08-30T14:19:01Z	PGVF_54_8292023_27.qgd	skip-rename	PGVF_121_8292023_28	underscores	PGVF	121	8292023	28				Lagg	floral	121	no vial match	D	#N/A	2023-07-20	2023-08-29	28	no vial match, guessed date/site/time	2023	5
2023	1914	PGVF_230830a.txt	2023-08-30T16:47:59Z	PGVF_39_8302023_02.qgd		PGVF_39_8302023_02	underscores	PGVF	39	8302023	2				Lagg	floral	39	no vial match	D	#N/A	2023-07-20	2023-08-30	2	no vial match, guessed date/site/time	2023	5
2023	1733	Ihyb_SCH_230822b.txt	2023-08-23T14:56:51Z	Ihyb_402_230728_8222023_23.qgd	skip-rename	Ihyb_205_230728_8222023_24	underscores	Ihyb	205	230728	8222023	24			Ihyb	floral	205	1506	D	2023-07-27	2023-07-27	2023-08-22	24		2023	2
2023	1743	Ihyb_SCH_230823a.txt	2023-08-23T19:24:22Z	Ihyb_415redo_230728_8232023_06.qgd	skip-rename	Ihyb_215redo_230728_8232023_07	underscores	Ihyb	215redo	230728	8232023	7			Ihyb	floral	205	1506	D	2023-07-27	2023-07-27	2023-08-23	7		2023	2
